id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kematian,jenis_kelamin,jumlah_kematian,satuan,tahun
221,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ANAK BALITA,LAKI-LAKI,10,JIWA,2015
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ANAK BALITA,PEREMPUAN,6,JIWA,2015
223,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAYI,LAKI-LAKI,179,JIWA,2015
224,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAYI,PEREMPUAN,115,JIWA,2015
225,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEONATAL,LAKI-LAKI,138,JIWA,2015
226,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEONATAL,PEREMPUAN,85,JIWA,2015
227,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ANAK BALITA,LAKI-LAKI,8,JIWA,2015
228,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ANAK BALITA,PEREMPUAN,12,JIWA,2015
229,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAYI,LAKI-LAKI,84,JIWA,2015
230,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAYI,PEREMPUAN,74,JIWA,2015
231,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEONATAL,LAKI-LAKI,57,JIWA,2015
232,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEONATAL,PEREMPUAN,54,JIWA,2015
233,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ANAK BALITA,LAKI-LAKI,10,JIWA,2015
234,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ANAK BALITA,PEREMPUAN,8,JIWA,2015
235,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAYI,LAKI-LAKI,79,JIWA,2015
236,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAYI,PEREMPUAN,49,JIWA,2015
237,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEONATAL,LAKI-LAKI,64,JIWA,2015
238,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEONATAL,PEREMPUAN,38,JIWA,2015
239,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ANAK BALITA,LAKI-LAKI,7,JIWA,2015
240,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ANAK BALITA,PEREMPUAN,5,JIWA,2015
241,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BAYI,LAKI-LAKI,90,JIWA,2015
242,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BAYI,PEREMPUAN,74,JIWA,2015
243,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEONATAL,LAKI-LAKI,66,JIWA,2015
